County,State Long,Annual Establishments,Annual Average Employment,Total Annual Wages,Annual Average Weekly Wage,Annual Wages per Employee,Annual Average Employment Location Quotient,Total Annual Wages Location Quotient,State
Montgomery County, Tennessee,3215,54387,2103105566,744,38670,1,1,TN
Moore County, Tennessee,84,2060,96239018,898,46716,1,1,TN
Morgan County, Tennessee,204,3062,107574247,676,35137,1,1,TN
Obion County, Tennessee,682,10821,396328396,704,36627,1,1,TN
Overton County, Tennessee,359,5069,182532696,693,36013,1,1,TN
Perry County, Tennessee,125,1951,63262980,624,32425,1,1,TN
Pickett County, Tennessee,109,1118,34949679,601,31252,1,1,TN
Polk County, Tennessee,257,2309,72225630,602,31280,1,1,TN
Putnam County, Tennessee,1992,36673,1444980604,758,39402,1,1,TN
Rhea County, Tennessee,505,10509,468759590,858,44604,1,1,TN
Roane County, Tennessee,792,18166,1199136051,1269,66011,1,1,TN
Robertson County, Tennessee,1201,22223,861223351,745,38753,1,1,TN
Rutherford County, Tennessee,5808,130043,6316468628,934,48572,1,1,TN
Scott County, Tennessee,339,5883,187954611,614,31950,1,1,TN
Sequatchie County, Tennessee,227,2957,95901161,624,32431,1,1,TN
Sevier County, Tennessee,2843,47384,1482871152,602,31295,1,1,TN
Shelby County, Tennessee,20778,499339,28100593017,1082,56276,1,1,TN
Smith County, Tennessee,332,5340,228417052,823,42776,1,1,TN
Stewart County, Tennessee,187,2586,123396658,918,47720,1,1,TN
Sullivan County, Tennessee,3460,68409,3359372231,944,49107,1,1,TN
Sumner County, Tennessee,3809,53955,2343485595,835,43434,1,1,TN
Tipton County, Tennessee,747,11147,402257726,694,36086,1,1,TN
Trousdale County, Tennessee,133,1885,70170749,716,37234,1,1,TN
Unicoi County, Tennessee,264,4837,216413057,860,44742,1,1,TN
Union County, Tennessee,235,2476,87423269,679,35307,1,1,TN
Van Buren County, Tennessee,59,813,26176267,620,32217,1,1,TN
Warren County, Tennessee,823,12689,497152843,753,39181,1,1,TN
Washington County, Tennessee,3004,61450,2576008179,806,41920,1,1,TN
Wayne County, Tennessee,237,3645,124512431,657,34160,1,1,TN
Weakley County, Tennessee,586,11178,380847723,655,34073,1,1,TN
White County, Tennessee,457,7127,250539823,676,35153,1,1,TN
Williamson County, Tennessee,9072,134980,8909334918,1269,66005,1,1,TN
Wilson County, Tennessee,2954,45909,1930389731,809,42048,1,1,TN
Unknown Or Undefined, Tennessee,10636,51854,3961021820,1469,76388,1,1,TN
Anderson County, Texas,1607,20252,892979856,848,44093,1,1,TX
Andrews County, Texas,509,7586,518458746,1314,68348,1,1,TX
Angelina County, Texas,1870,35307,1428930502,778,40471,1,1,TX
Aransas County, Texas,616,5292,204256393,742,38596,1,1,TX
Archer County, Texas,256,1784,68343026,737,38302,1,1,TX
Armstrong County, Texas,67,399,15355656,741,38509,1,1,TX
Atascosa County, Texas,898,13518,699142201,995,51718,1,1,TX
Austin County, Texas,1091,10202,488121167,920,47845,1,1,TX
Bailey County, Texas,260,2618,104066110,765,39755,1,1,TX
Bandera County, Texas,471,3358,119971068,687,35730,1,1,TX
Bastrop County, Texas,1478,18449,724924186,756,39294,1,1,TX
Baylor County, Texas,177,1194,41977262,676,35164,1,1,TX
Bee County, Texas,585,8907,329262465,711,36967,1,1,TX
Bell County, Texas,5564,118588,5569925766,903,46969,1,1,TX
Bexar County, Texas,42229,866347,43936559916,975,50715,1,1,TX
Blanco County, Texas,392,3193,154999169,933,48537,1,1,TX
Borden County, Texas,65,203,7765695,737,38302,1,1,TX
Bosque County, Texas,383,3658,141664691,745,38727,1,1,TX
Bowie County, Texas,2402,41321,1670002479,777,40415,1,1,TX
Brazoria County, Texas,5988,112550,6657327463,1138,59150,1,1,TX
Brazos County, Texas,4648,105237,4369685023,799,41522,1,1,TX
Brewster County, Texas,395,3894,158794598,784,40780,1,1,TX
Briscoe County, Texas,86,333,10743868,620,32256,1,1,TX
Brooks County, Texas,171,2536,110457818,838,43554,1,1,TX
Brown County, Texas,907,15816,599431125,729,37900,1,1,TX
Burleson County, Texas,417,4446,202629156,876,45572,1,1,TX
Burnet County, Texas,1353,14312,609698145,819,42600,1,1,TX
Caldwell County, Texas,740,9051,358826925,762,39645,1,1,TX
Calhoun County, Texas,630,11810,787652298,1283,66695,1,1,TX
Callahan County, Texas,254,2566,108191338,811,42168,1,1,TX
Cameron County, Texas,6545,139205,4675136161,646,33585,1,1,TX
Camp County, Texas,265,3824,150126828,755,39257,1,1,TX
Carson County, Texas,175,4809,396438440,1585,82430,1,1,TX
Cass County, Texas,556,7680,282610813,708,36799,1,1,TX
Castro County, Texas,297,2586,95656987,711,36987,1,1,TX
Chambers County, Texas,732,15624,1008609691,1241,64555,1,1,TX
Cherokee County, Texas,846,14639,528849235,695,36126,1,1,TX
Childress County, Texas,227,2543,97007030,733,38142,1,1,TX
Clay County, Texas,180,1448,53901554,716,37221,1,1,TX
Cochran County, Texas,116,653,26176989,771,40113,1,1,TX
Coke County, Texas,102,712,28794544,777,40418,1,1,TX
Coleman County, Texas,244,2015,61669540,589,30609,1,1,TX
Collin County, Texas,26074,415467,27798015277,1287,66908,1,1,TX
Collingsworth County, Texas,123,873,35190346,775,40302,1,1,TX
Colorado County, Texas,643,6820,289798622,817,42490,1,1,TX
Comal County, Texas,3828,56824,2462440002,833,43334,1,1,TX
Comanche County, Texas,347,3681,127475501,666,34631,1,1,TX
Concho County, Texas,86,612,23285520,732,38074,1,1,TX
Cooke County, Texas,997,14496,679362963,901,46865,1,1,TX
Coryell County, Texas,1224,16310,688631275,812,42221,1,1,TX
Cottle County, Texas,68,403,16011500,763,39690,1,1,TX
Crane County, Texas,101,1382,92128247,1282,66659,1,1,TX
Crockett County, Texas,204,1516,62926709,798,41497,1,1,TX
Crosby County, Texas,212,1367,50452026,710,36900,1,1,TX
Culberson County, Texas,111,1124,58004933,993,51617,1,1,TX
Dallam County, Texas,393,4574,201958045,849,44155,1,1,TX
Dallas County, Texas,78142,1708342,1.17002E+11,1317,68489,1,1,TX
Dawson County, Texas,521,4289,172353944,773,40189,1,1,TX
Deaf Smith County, Texas,507,7620,319667748,807,41952,1,1,TX
Delta County, Texas,103,1036,26788381,497,25868,1,1,TX
Denton County, Texas,15510,246098,12485852080,976,50735,1,1,TX
DeWitt County, Texas,607,7771,348956026,864,44903,1,1,TX
Dickens County, Texas,62,447,14662277,631,32808,1,1,TX
Dimmit County, Texas,329,6627,370375412,1075,55885,1,1,TX
Donley County, Texas,127,984,34653496,677,35202,1,1,TX
Duval County, Texas,206,3604,139085541,742,38592,1,1,TX
Eastland County, Texas,516,8075,437278604,1041,54151,1,1,TX
Ector County, Texas,4035,78439,4848501074,1189,61812,1,1,TX
Edwards County, Texas,71,396,13689658,664,34541,1,1,TX
Ellis County, Texas,3064,51921,2303378569,853,44363,1,1,TX
El Paso County, Texas,15379,306293,11899909677,747,38851,1,1,TX
Erath County, Texas,1157,17042,612110545,691,35918,1,1,TX
Falls County, Texas,283,3208,119658427,717,37304,1,1,TX
Fannin County, Texas,558,7769,321780864,797,41420,1,1,TX
Fayette County, Texas,831,9375,385024946,790,41068,1,1,TX
Fisher County, Texas,138,839,35529912,815,42361,1,1,TX
Floyd County, Texas,268,1627,60559236,716,37216,1,1,TX
Foard County, Texas,64,371,10848929,562,29216,1,1,TX
Fort Bend County, Texas,13835,189248,9820792771,998,51894,1,1,TX
Franklin County, Texas,221,3062,130054991,817,42477,1,1,TX
Freestone County, Texas,404,4702,204476258,836,43491,1,1,TX
Frio County, Texas,426,7491,390775409,1003,52167,1,1,TX
Gaines County, Texas,630,6323,332355152,1011,52562,1,1,TX
Galveston County, Texas,6257,109282,5397695474,950,49392,1,1,TX
Garza County, Texas,193,1833,72155505,757,39358,1,1,TX
Gillespie County, Texas,1095,10790,415622622,741,38521,1,1,TX
Glasscock County, Texas,122,661,38815008,1130,58759,1,1,TX
Goliad County, Texas,162,1295,46330321,688,35783,1,1,TX
Gonzales County, Texas,542,7233,304629890,810,42118,1,1,TX
Gray County, Texas,605,7764,385195178,954,49614,1,1,TX
Grayson County, Texas,3102,46642,2039163498,841,43720,1,1,TX
Gregg County, Texas,4272,74502,3538786608,913,47499,1,1,TX
Grimes County, Texas,505,7340,363770201,953,49561,1,1,TX
Guadalupe County, Texas,2202,41608,1837209216,849,44155,1,1,TX
Hale County, Texas,887,11948,449665407,724,37634,1,1,TX
Hall County, Texas,127,813,23175044,548,28511,1,1,TX
Hamilton County, Texas,263,2554,93435647,704,36588,1,1,TX
Hansford County, Texas,231,2220,128187429,1111,57753,1,1,TX
Hardeman County, Texas,129,1246,45586065,703,36574,1,1,TX
Hardin County, Texas,901,12991,557336781,825,42903,1,1,TX
Harris County, Texas,116143,2307653,1.62706E+11,1356,70507,1,1,TX
Harrison County, Texas,1379,23592,1165696718,950,49411,1,1,TX
Hartley County, Texas,163,2562,104844482,787,40922,1,1,TX
Haskell County, Texas,226,1539,56317183,704,36585,1,1,TX
Hays County, Texas,4416,70129,2832860823,777,40395,1,1,TX
Hemphill County, Texas,219,2247,132887357,1137,59129,1,1,TX
Henderson County, Texas,1514,17177,639290127,716,37219,1,1,TX
Hidalgo County, Texas,12597,261245,8974254823,661,34352,1,1,TX
Hill County, Texas,773,9953,408323973,789,41027,1,1,TX
Hockley County, Texas,644,10048,540377885,1034,53778,1,1,TX
Hood County, Texas,1448,16227,711591918,843,43852,1,1,TX
Hopkins County, Texas,861,12705,498132141,754,39209,1,1,TX
Houston County, Texas,876,6891,341279247,952,49524,1,1,TX
Howard County, Texas,933,13173,674425374,985,51196,1,1,TX
Hudspeth County, Texas,94,1326,76685609,1112,57814,1,1,TX
Hunt County, Texas,1514,29656,1549011010,1004,52233,1,1,TX
Hutchinson County, Texas,495,8258,505590170,1177,61227,1,1,TX
Irion County, Texas,84,877,55010867,1207,62744,1,1,TX
Jack County, Texas,250,3574,225166735,1212,63001,1,1,TX
Jackson County, Texas,440,5833,261150035,861,44774,1,1,TX
Jasper County, Texas,644,9879,405903006,790,41088,1,1,TX
Jeff Davis County, Texas,84,930,30223569,625,32516,1,1,TX
Jefferson County, Texas,5874,123092,7079333634,1106,57513,1,1,TX
Jim Hogg County, Texas,139,1650,65667495,765,39798,1,1,TX
Jim Wells County, Texas,893,16541,775921283,902,46909,1,1,TX
Johnson County, Texas,3274,47025,2117713473,866,45033,1,1,TX
Jones County, Texas,339,2969,113477572,735,38225,1,1,TX
Karnes County, Texas,400,6284,344953514,1056,54896,1,1,TX
Kaufman County, Texas,2050,31154,1331883032,822,42752,1,1,TX
Kendall County, Texas,1520,16260,812783669,961,49987,1,1,TX
Kenedy County, Texas,32,572,37653923,1266,65819,1,1,TX
Kent County, Texas,36,269,10480245,749,38936,1,1,TX
Kerr County, Texas,1509,18174,763219555,808,41994,1,1,TX
Kimble County, Texas,179,1284,39670496,594,30892,1,1,TX
King County, Texas,24,118,4877991,797,41427,1,1,TX
Kinney County, Texas,77,990,45128637,877,45600,1,1,TX
Kleberg County, Texas,645,11638,443247316,732,38087,1,1,TX
Knox County, Texas,156,1102,45050587,786,40865,1,1,TX
Lamar County, Texas,1253,21632,902425418,802,41717,1,1,TX
Lamb County, Texas,444,3977,162736794,787,40919,1,1,TX
Lampasas County, Texas,435,4530,158075844,671,34899,1,1,TX
La Salle County, Texas,192,3759,261926204,1340,69675,1,1,TX
Lavaca County, Texas,510,5654,222134427,756,39286,1,1,TX
Lee County, Texas,434,7123,357576545,965,50203,1,1,TX
Leon County, Texas,427,4804,257224877,1030,53542,1,1,TX
Liberty County, Texas,1180,18024,838845141,895,46540,1,1,TX
Limestone County, Texas,399,7809,340458244,838,43600,1,1,TX
Lipscomb County, Texas,113,1348,73791533,1053,54758,1,1,TX
Live Oak County, Texas,309,3762,208405430,1065,55398,1,1,TX
Llano County, Texas,545,4697,175642383,719,37393,1,1,TX
Loving County, Texas,18,125,6386858,987,51300,1,1,TX
Lubbock County, Texas,7654,139739,6142219796,845,43955,1,1,TX
Lynn County, Texas,232,1629,77841860,919,47790,1,1,TX
McCulloch County, Texas,282,2935,120753955,791,41140,1,1,TX
McLennan County, Texas,5335,113423,5256289480,891,46342,1,1,TX
McMullen County, Texas,81,494,26514409,1032,53682,1,1,TX
Madison County, Texas,294,4451,169623496,733,38111,1,1,TX
Marion County, Texas,160,1963,65868966,645,33564,1,1,TX
Martin County, Texas,219,2373,129223193,1047,54458,1,1,TX
Mason County, Texas,172,1070,36628367,659,34243,1,1,TX
Matagorda County, Texas,857,10844,612060178,1085,56441,1,1,TX
Maverick County, Texas,881,17843,608378313,656,34096,1,1,TX
Medina County, Texas,853,9824,368539461,721,37515,1,1,TX
Menard County, Texas,82,414,11786454,548,28493,1,1,TX
Midland County, Texas,5769,103748,7800147552,1446,75183,1,1,TX
Milam County, Texas,487,5309,220964507,800,41617,1,1,TX
Mills County, Texas,137,1250,41771004,643,33423,1,1,TX
Mitchell County, Texas,189,1931,87599604,872,45359,1,1,TX
Montague County, Texas,499,4792,199920250,802,41722,1,1,TX
Montgomery County, Texas,11791,186680,10508628193,1083,56292,1,1,TX
Moore County, Texas,552,11000,514010637,899,46728,1,1,TX
Morris County, Texas,236,3611,188575262,1004,52228,1,1,TX
Motley County, Texas,64,316,9065579,553,28734,1,1,TX
Nacogdoches County, Texas,1422,22572,851778256,726,37736,1,1,TX
Navarro County, Texas,980,17034,657164844,742,38579,1,1,TX
Newton County, Texas,133,1288,47210104,705,36651,1,1,TX
Nolan County, Texas,416,5962,257448731,830,43182,1,1,TX
Nueces County, Texas,8335,164043,7837380956,919,47776,1,1,TX
Ochiltree County, Texas,401,4568,224809166,946,49215,1,1,TX
Oldham County, Texas,103,983,40718299,797,41426,1,1,TX
Orange County, Texas,1399,22681,1202667599,1020,53024,1,1,TX
Palo Pinto County, Texas,710,8728,392540746,865,44976,1,1,TX
Panola County, Texas,546,8879,423990834,918,47750,1,1,TX
Parker County, Texas,2848,33735,1569878975,895,46536,1,1,TX
Parmer County, Texas,335,5832,248782508,820,42658,1,1,TX
Pecos County, Texas,436,5729,273096044,917,47668,1,1,TX
Polk County, Texas,824,11374,454793853,769,39985,1,1,TX
Potter County, Texas,4003,77674,3527161944,873,45410,1,1,TX
Presidio County, Texas,181,2127,88161485,797,41445,1,1,TX
Rains County, Texas,223,1969,64711543,632,32865,1,1,TX
Randall County, Texas,2469,31623,1394270358,848,44090,1,1,TX
Reagan County, Texas,159,2028,124285190,1179,61295,1,1,TX
Real County, Texas,99,746,19902207,513,26667,1,1,TX
Red River County, Texas,243,2629,90969181,666,34609,1,1,TX
Reeves County, Texas,418,7557,459113542,1168,60754,1,1,TX
Refugio County, Texas,203,2287,93047057,782,40681,1,1,TX
Roberts County, Texas,43,256,11587623,871,45308,1,1,TX
Robertson County, Texas,344,4209,190212480,869,45195,1,1,TX
Rockwall County, Texas,2533,30781,1324453006,827,43028,1,1,TX
Runnels County, Texas,285,2866,102776125,690,35860,1,1,TX
Rusk County, Texas,879,13477,590331889,842,43802,1,1,TX
Sabine County, Texas,192,2291,85465951,717,37301,1,1,TX
San Augustine County, Texas,156,1816,69719005,738,38384,1,1,TX
San Jacinto County, Texas,248,2047,72506724,681,35415,1,1,TX
San Patricio County, Texas,1155,18716,910082067,935,48627,1,1,TX
San Saba County, Texas,209,1862,78240322,808,42027,1,1,TX
Schleicher County, Texas,94,807,36574252,871,45307,1,1,TX
Scurry County, Texas,489,6688,375389331,1079,56128,1,1,TX
Shackelford County, Texas,171,1370,80666336,1132,58888,1,1,TX
Shelby County, Texas,570,8333,315557177,728,37870,1,1,TX
Sherman County, Texas,121,987,41530926,809,42078,1,1,TX
Smith County, Texas,6392,103581,4705441463,874,45428,1,1,TX
Somervell County, Texas,229,3855,231115726,1153,59957,1,1,TX
Starr County, Texas,610,15186,460441283,583,30320,1,1,TX
Stephens County, Texas,309,3193,124704152,751,39051,1,1,TX
Sterling County, Texas,97,525,23591157,864,44921,1,1,TX
Stonewall County, Texas,79,479,18661485,749,38952,1,1,TX
Sutton County, Texas,186,1816,124111347,1315,68359,1,1,TX
Swisher County, Texas,206,1909,69439741,700,36383,1,1,TX
Tarrant County, Texas,44338,897995,49945615822,1070,55619,1,1,TX
Taylor County, Texas,3667,62346,2647768133,817,42469,1,1,TX
Terrell County, Texas,50,272,11453907,810,42097,1,1,TX
Terry County, Texas,392,3766,173965761,888,46200,1,1,TX
Throckmorton County, Texas,71,449,12856890,551,28650,1,1,TX
Titus County, Texas,830,15822,600457721,730,37950,1,1,TX
Tom Green County, Texas,2927,48001,2067420481,828,43070,1,1,TX
Travis County, Texas,41918,749928,50099943560,1285,66806,1,1,TX
Trinity County, Texas,209,2240,75289261,646,33615,1,1,TX
Tyler County, Texas,324,3723,132587235,685,35611,1,1,TX
Upshur County, Texas,570,6889,258230260,721,37487,1,1,TX
Upton County, Texas,108,1575,107227227,1309,68084,1,1,TX
Uvalde County, Texas,719,9809,334157260,655,34067,1,1,TX
Val Verde County, Texas,911,17909,666388898,716,37210,1,1,TX
Van Zandt County, Texas,1014,11170,394083305,678,35280,1,1,TX
Victoria County, Texas,2497,39061,1809896076,891,46335,1,1,TX
Walker County, Texas,1101,24829,1012711358,784,40788,1,1,TX
Waller County, Texas,855,17233,800789236,894,46469,1,1,TX
Ward County, Texas,386,5697,361134947,1219,63386,1,1,TX
Washington County, Texas,968,14795,588077238,764,39747,1,1,TX
Webb County, Texas,5512,101298,3707403694,704,36599,1,1,TX
Wharton County, Texas,1183,15964,628470622,757,39367,1,1,TX
Wheeler County, Texas,214,2119,88820935,806,41918,1,1,TX
Wichita County, Texas,3261,54879,2192435588,768,39950,1,1,TX
Wilbarger County, Texas,341,5965,222045970,716,37227,1,1,TX
Willacy County, Texas,311,3583,127130752,682,35483,1,1,TX
Williamson County, Texas,11290,173119,9631289034,1070,55634,1,1,TX
Wilson County, Texas,749,8536,332134423,748,38912,1,1,TX
Winkler County, Texas,227,3480,229950339,1271,66071,1,1,TX
Wise County, Texas,1427,20406,953477244,899,46726,1,1,TX
Wood County, Texas,889,9933,374686063,725,37721,1,1,TX
Yoakum County, Texas,298,3612,224807875,1197,62236,1,1,TX
Young County, Texas,609,6802,288626709,816,42432,1,1,TX
Zapata County, Texas,180,3613,180593920,961,49987,1,1,TX
Zavala County, Texas,172,2504,91049731,699,36365,1,1,TX
Unknown Or Undefined, Texas,34533,286421,24851764737,1669,86767,1,1,TX
Beaver County, Utah,239,2810,98123325,672,34920,1,1,UT
Box Elder County, Utah,1417,21109,816660895,744,38689,1,1,UT
Cache County, Utah,3723,55698,2085233425,720,37438,1,1,UT
Carbon County, Utah,621,8451,349882556,796,41401,1,1,UT
Daggett County, Utah,48,372,12002779,621,32287,1,1,UT
Davis County, Utah,8741,129897,5934791906,879,45688,1,1,UT
Duchesne County, Utah,791,7739,351542413,874,45426,1,1,UT
Emery County, Utah,258,3228,144279457,860,44696,1,1,UT
Garfield County, Utah,252,2376,71686187,580,30174,1,1,UT
Grand County, Utah,584,5867,198844147,652,33890,1,1,UT
Iron County, Utah,1663,18455,627002677,653,33974,1,1,UT
Juab County, Utah,292,3692,128387885,669,34775,1,1,UT
Kane County, Utah,331,3544,116921181,635,32996,1,1,UT
Millard County, Utah,396,4802,193595786,775,40318,1,1,UT
Morgan County, Utah,357,2457,101409988,794,41270,1,1,UT
Piute County, Utah,46,279,7420392,512,26604,1,1,UT
Rich County, Utah,135,875,24031788,528,27470,1,1,UT
Salt Lake County, Utah,46317,701959,38507785838,1055,54858,1,1,UT
San Juan County, Utah,347,4276,153414842,690,35880,1,1,UT
Sanpete County, Utah,641,8009,264021675,634,32966,1,1,UT
Sevier County, Utah,707,9005,333431539,712,37029,1,1,UT
Summit County, Utah,2948,27339,1262911922,888,46195,1,1,UT
Tooele County, Utah,1163,16116,658824871,786,40879,1,1,UT
Uintah County, Utah,1249,12824,576783766,865,44979,1,1,UT
Utah County, Utah,16895,243426,11339571096,896,46583,1,1,UT
Wasatch County, Utah,1166,9384,372613863,764,39706,1,1,UT
Washington County, Utah,5984,67478,2482288961,707,36787,1,1,UT
Wayne County, Utah,141,1052,33165694,606,31529,1,1,UT
Weber County, Utah,6216,106298,4485742095,812,42200,1,1,UT
Addison County, Vermont,1440,14975,718765618,923,47998,1,1,VT
Bennington County, Vermont,1564,17331,744832899,826,42976,1,1,VT
Caledonia County, Vermont,1013,10692,437195155,786,40891,1,1,VT
Chittenden County, Vermont,6988,102361,5571844562,1047,54433,1,1,VT
Essex County, Vermont,173,1106,41248052,717,37281,1,1,VT
Franklin County, Vermont,1276,17825,848232679,915,47586,1,1,VT
Grand Isle County, Vermont,247,1199,42768919,686,35666,1,1,VT
Lamoille County, Vermont,1170,12016,482366509,772,40145,1,1,VT
Orange County, Vermont,840,7750,315020654,782,40649,1,1,VT
Orleans County, Vermont,930,11005,413758652,723,37597,1,1,VT
Rutland County, Vermont,2360,26886,1187067359,849,44151,1,1,VT
Washington County, Vermont,2617,33380,1702804522,981,51012,1,1,VT
Windham County, Vermont,1957,21537,906793648,810,42103,1,1,VT
Windsor County, Vermont,2378,23282,1064462442,879,45721,1,1,VT
Unknown Or Undefined, Vermont,736,8797,297660171,651,33836,1,1,VT
Accomack County, Virginia,1166,13463,527090158,753,39152,1,1,VA
Albemarle County, Virginia,3818,56440,3078528787,1049,54545,1,1,VA
Alleghany County, Virginia,362,3767,129090446,659,34273,1,1,VA
Amelia County, Virginia,414,2507,88930433,682,35474,1,1,VA
Amherst County, Virginia,787,8108,306916173,728,37853,1,1,VA
Appomattox County, Virginia,512,3272,97957374,576,29939,1,1,VA
Arlington County, Virginia,9216,178165,16525783554,1784,92755,1,1,VA
Augusta County, Virginia,1897,27551,1235529025,862,44845,1,1,VA
Bath County, Virginia,211,2233,82313026,709,36870,1,1,VA
Bedford County, Virginia,2272,18986,714382579,724,37626,1,1,VA
Bland County, Virginia,132,1961,86818962,852,44282,1,1,VA
Botetourt County, Virginia,884,10762,450908930,806,41898,1,1,VA
Brunswick County, Virginia,667,3604,124357649,664,34502,1,1,VA
Buchanan County, Virginia,579,6625,302849066,879,45714,1,1,VA
Buckingham County, Virginia,437,3244,120143078,712,37038,1,1,VA
Campbell County, Virginia,1493,17179,815132079,912,47448,1,1,VA
Caroline County, Virginia,604,5706,226460639,763,39689,1,1,VA
Carroll County, Virginia,624,6399,204321028,614,31931,1,1,VA
Charles City County, Virginia,226,1712,79347381,892,46361,1,1,VA
Charlotte County, Virginia,365,2822,97083374,662,34407,1,1,VA
Chesterfield County, Virginia,9358,138379,6561745489,912,47419,1,1,VA
Clarke County, Virginia,467,3870,171432032,852,44298,1,1,VA
Craig County, Virginia,126,733,24736058,649,33727,1,1,VA
Culpeper County, Virginia,1489,15949,678274617,818,42527,1,1,VA
Cumberland County, Virginia,233,1305,44047397,649,33746,1,1,VA
Dickenson County, Virginia,345,3258,129551212,765,39764,1,1,VA
Dinwiddie County, Virginia,486,8920,382720392,825,42904,1,1,VA
Essex County, Virginia,368,3715,125133024,648,33685,1,1,VA
Fairfax County, Virginia,37312,612449,52912051886,1661,86394,1,1,VA
Fauquier County, Virginia,2491,22421,1104179912,947,49248,1,1,VA
Floyd County, Virginia,489,3463,102738656,571,29672,1,1,VA
Fluvanna County, Virginia,586,4300,172633599,772,40147,1,1,VA
Franklin County, Virginia,1567,15213,515864498,652,33909,1,1,VA
Frederick County, Virginia,1994,31588,1443034395,879,45683,1,1,VA
Giles County, Virginia,385,4606,186618240,779,40515,1,1,VA
Gloucester County, Virginia,998,9518,329067724,665,34572,1,1,VA
Goochland County, Virginia,837,16366,1577208636,1853,96373,1,1,VA
Grayson County, Virginia,423,2979,87428881,564,29346,1,1,VA
Greene County, Virginia,519,3680,128824401,673,35003,1,1,VA
Greensville County, Virginia,239,4530,189270226,804,41784,1,1,VA
Halifax County, Virginia,1082,11858,442328352,717,37303,1,1,VA
Hanover County, Virginia,3842,52745,2266593456,826,42972,1,1,VA
Henrico County, Virginia,11838,191739,10359980304,1039,54032,1,1,VA
Henry County, Virginia,1730,16109,540190014,645,33533,1,1,VA
Highland County, Virginia,112,472,14957767,609,31673,1,1,VA
Isle of Wight County, Virginia,819,10866,513244045,908,47236,1,1,VA
James City County, Virginia,1983,30236,1169371838,744,38675,1,1,VA
King and Queen County, Virginia,184,1092,41597844,733,38090,1,1,VA
King George County, Virginia,623,11678,897182513,1477,76829,1,1,VA
King William County, Virginia,437,4006,178584063,857,44582,1,1,VA
Lancaster County, Virginia,490,4518,165720289,705,36679,1,1,VA
Lee County, Virginia,579,4273,139840257,629,32724,1,1,VA
Loudoun County, Virginia,12585,169155,11107546549,1263,65665,1,1,VA
Louisa County, Virginia,972,9731,492797967,974,50644,1,1,VA
Lunenburg County, Virginia,323,2565,86515407,649,33727,1,1,VA
Madison County, Virginia,365,3053,109473173,690,35857,1,1,VA
Mathews County, Virginia,226,1533,43788388,549,28561,1,1,VA
Mecklenburg County, Virginia,1128,11556,398090015,662,34449,1,1,VA
Middlesex County, Virginia,385,3332,127002897,733,38113,1,1,VA
Montgomery County, Virginia,2346,42050,1910256598,874,45428,1,1,VA
Nelson County, Virginia,573,4013,139245174,667,34700,1,1,VA
New Kent County, Virginia,492,4373,163028286,717,37277,1,1,VA
Northampton County, Virginia,600,4484,139402663,598,31092,1,1,VA
Northumberland County, Virginia,382,2517,108558390,829,43126,1,1,VA
Nottoway County, Virginia,445,5792,202288389,672,34925,1,1,VA
Orange County, Virginia,944,9810,364651230,715,37173,1,1,VA
Page County, Virginia,609,5557,182449970,631,32833,1,1,VA
Patrick County, Virginia,554,4583,134520189,564,29351,1,1,VA
Pittsylvania County, Virginia,1424,12420,446131035,691,35921,1,1,VA
Powhatan County, Virginia,815,7029,276987056,758,39406,1,1,VA
Prince Edward County, Virginia,707,9425,335003697,684,35543,1,1,VA
Prince George County, Virginia,620,14969,785148054,1009,52451,1,1,VA
Prince William County, Virginia,9455,130324,6413042963,946,49209,1,1,VA
Pulaski County, Virginia,846,14194,573104899,776,40377,1,1,VA
Rappahannock County, Virginia,280,1398,53133556,731,37998,1,1,VA
Richmond County, Virginia,223,2896,110714889,735,38229,1,1,VA
Roanoke County, Virginia,2551,38456,1621620580,811,42168,1,1,VA
Rockbridge County, Virginia,508,6202,199677072,619,32194,1,1,VA
Rockingham County, Virginia,1851,33021,1424265731,829,43132,1,1,VA
Russell County, Virginia,632,6749,269868101,769,39987,1,1,VA
Scott County, Virginia,453,4861,158977796,629,32707,1,1,VA
Shenandoah County, Virginia,1226,14263,535941170,723,37576,1,1,VA
Smyth County, Virginia,937,12169,421809300,667,34662,1,1,VA
Southampton County, Virginia,358,3622,130808952,695,36114,1,1,VA
Spotsylvania County, Virginia,3167,36455,1451594808,766,39819,1,1,VA
Stafford County, Virginia,2796,44078,2287666577,998,51900,1,1,VA
Surry County, Virginia,120,2444,199352839,1568,81557,1,1,VA
Sussex County, Virginia,282,3583,137666163,739,38421,1,1,VA
Tazewell County, Virginia,1126,14744,538895843,703,36551,1,1,VA
Warren County, Virginia,1107,12698,502703995,761,39589,1,1,VA
Washington County, Virginia,1581,20682,754597285,702,36485,1,1,VA
Westmoreland County, Virginia,403,3435,108624285,608,31621,1,1,VA
Wise County, Virginia,949,11560,399134600,664,34528,1,1,VA
Wythe County, Virginia,917,11438,394691033,664,34508,1,1,VA
York County, Virginia,1597,21697,844884287,749,38940,1,1,VA
Alexandria City, Virginia,6309,91909,7173158357,1501,78046,1,1,VA
Bristol City, Virginia,626,9077,322967482,684,35582,1,1,VA
Buena Vista City, Virginia,136,2533,84564556,642,33382,1,1,VA
Charlottesville City, Virginia,2551,40543,2287030930,1085,56410,1,1,VA
Chesapeake City, Virginia,6197,101229,4433026000,842,43792,1,1,VA
